university,year,rank,score,link,country,city,region,logo,type,research,student_faculty_ratio,international_students,size,faculty_count
Massachusetts Institute of Technology (MIT) ,2017,1,100.0,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,Private,Very High,4.0,"3,730",M,"3,065"
Stanford University,2017,2,98.7,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,Private,Very High,3.0,"3,879",L,"4,725"
Harvard University,2017,3,98.3,https://www.topuniversities.com/universities/harvard-university,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,Private,Very High,5.0,"5,877",L,"4,646"
University of Cambridge,2017,4,97.2,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,Public,Very high,4.0,"7,925",L,"5,800"
California Institute of Technology (Caltech),2017,5,96.9,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,Private,Very High,2.0,692,S,968
University of Oxford,2017,6,96.8,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,Public,Very High,3.0,"8,442",L,"6,708"
UCL,2017,7,95.6,https://www.topuniversities.com/universities/ucl,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,Public,Very High,5.0,"21,824",XL,"7,195"
ETH Zurich - Swiss Federal Institute of Technology,2017,8,94.2,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,Zürich,Europe,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,Public,Very High,7.0,"7,733",L,"2,719"
Imperial College London,2017,9,94.1,https://www.topuniversities.com/universities/imperial-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,Public,Very High,5.0,"11,143",L,"8,000"
University of Chicago,2017,10,93.0,https://www.topuniversities.com/universities/university-chicago,United States,Chicago,North America,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,Private,Very High,6.0,"4,696",L,"2,703"
Princeton University,2017,11,92.8,https://www.topuniversities.com/universities/princeton-university,United States,Princeton,North America,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg,Private,Very High,8.0,"1,912",M,"1,050"
National University of Singapore (NUS),2017,12,91.5,https://www.topuniversities.com/universities/national-university-singapore-nus,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,Public,Very High,7.0,"7,551",XL,"4,288"
"Nanyang Technological University, Singapore (NTU)",2017,13,91.4,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg,Public,Very High,6.0,"6,091",L,"3,812"
EPFL,2017,14,91.1,https://www.topuniversities.com/universities/epfl,Switzerland,Lausanne,Europe,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg,Public,Very High,6.0,"6,426",M,"1,767"
Yale University,2017,15,90.9,https://www.topuniversities.com/universities/yale-university,United States,New Haven,North America,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg,Private,Very High,2.0,"2,537",M,"5,391"
Cornell University,2017,16,90.1,https://www.topuniversities.com/universities/cornell-university,United States,Ithaca,North America,https://www.topuniversities.com/sites/default/files/cornell-university_143_small.jpg,Private,Very High,8.0,"5,675",L,"2,843"
Johns Hopkins University,2017,17,89.3,https://www.topuniversities.com/universities/johns-hopkins-university,United States,Baltimore,North America,https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small.jpg,Private,Very High,3.0,"5,070",L,"4,855"
University of Pennsylvania,2017,18,89.0,https://www.topuniversities.com/universities/university-pennsylvania,United States,Philadelphia,North America,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg,Private,Very High,4.0,"4,636",L,"5,154"
The University of Edinburgh,2017,19,88.9,https://www.topuniversities.com/universities/university-edinburgh,United Kingdom,Edinburgh,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,Public,Very High,7.0,"14,637",XL,"4,832"
Columbia University,2017,20,88.6,https://www.topuniversities.com/universities/columbia-university,United States,New York City,North America,https://www.topuniversities.com/sites/default/files/columbia-university_138_small.jpg,Private,Very High,4.0,"11,252",L,"7,087"
King's College London,2017,21,87.7,https://www.topuniversities.com/universities/kings-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/kings-college-london_357_small.jpg,Public,Very High,7.0,"15,075",L,"4,216"
